,M1,M2,M3,M4,M5,M6,M7,M8
j0101,20,15,18,0,14,18,12,0
j0102,7,5,8,6,5,0,6,5
j0103,12,10,0,8,7,8,11,9
j0104,14,10,12,11,8,9,15,8
j0105,11,16,27,22,16,14,21,16
j0201,25,23,21,20,22,21,25,19
j0202,22,18,16,17,14,12,15,13
j0203,23,19,0,19,15,0,17,16
j0204,27,0,20,23,16,0,21,16
j0301,15,13,16,12,0,5,10,8
j0302,16,0,5,9,11,6,9,7
j0303,0,5,7,7,6,6,0,8
j0401,0,5,5,0,4,16,10,11
j0402,9,5,0,6,7,13,10,7
j0403,14,5,6,7,5,14,9,8
j0404,13,12,16,0,9,6,12,11
j0501,0,15,13,17,18,13,16,15
j0502,11,16,14,13,0,12,20,0
j0503,7,0,6,7,8,13,0,14
j0504,8,11,13,0,9,0,7,9
j0505,0,6,12,9,14,13,13,9
j0601,23,19,17,18,21,0,15,21
j0602,11,20,0,23,12,11,14,16
j0603,6,0,10,18,13,7,12,9
j0604,14,10,15,19,0,16,15,13
j0701,6,0,9,14,5,0,8,11
j0702,14,11,15,13,18,23,15,0
j0801,18,16,20,15,17,0,14,19
j0802,9,7,5,0,6,13,0,7
j0803,10,9,12,6,5,11,12,10
j0804,20,18,13,19,18,11,12,14
j0805,14,12,15,0,15,12,0,13
j0806,11,0,13,14,16,10,13,15
j0901,9,0,12,11,0,8,10,0
j0902,9,12,14,16,0,9,8,9
j0903,21,0,15,11,9,7,12,15
j0904,14,13,0,20,14,11,10,16
j1001,0,6,7,9,8,7,10,9
j1002,11,14,16,9,0,16,13,0
j1003,16,21,17,20,23,17,0,15
j1004,7,12,9,5,11,9,14,12
j1005,9,13,18,12,6,18,0,9
j1101,8,0,9,8,7,9,10,13
j1102,12,5,9,15,6,9,0,8
j1103,5,6,12,20,8,12,15,0
j1104,7,14,11,0,9,11,10,7
j1201,5,4,5,6,7,5,0,6
j1202,6,7,0,0,9,0,8,7
j1203,12,14,11,8,9,0,11,9
