,M1,M2,M3,M4
j0101,20,15,18,0
j0102,7,5,8,6
j0103,12,10,0,8
j0104,14,10,12,11
j0105,11,16,27,22
j0201,25,23,21,20
j0202,22,18,16,17
j0203,23,19,0,19
j0204,27,0,20,23
j0301,15,13,16,12
j0302,16,0,5,9
j0303,0,5,7,7
j0401,0,5,5,0
j0402,9,5,0,6
j0403,14,5,6,7
j0404,13,12,16,0
j0501,0,15,13,17
j0502,11,16,14,13
j0503,7,0,6,7
j0504,8,11,13,0
j0505,0,6,12,9
j0601,23,19,17,18
j0602,11,20,0,23
j0603,6,0,10,18
j0604,14,10,15,19
j0701,6,0,9,14
j0702,14,11,15,13
j0801,18,16,20,15
j0802,9,7,5,0
j0803,10,9,12,6
j0804,20,18,13,19
j0805,14,12,15,0
j0806,11,0,13,14
j0901,9,0,12,11
j0902,9,12,14,16
j0903,21,0,15,11
j0904,14,13,0,20
j1001,0,6,7,9
j1002,11,14,16,9
j1003,16,21,17,20
j1004,7,12,9,5
j1005,9,13,18,12
j1101,8,0,9,8
j1102,12,5,9,15
j1103,5,6,12,20
j1104,7,14,11,0
j1201,5,4,5,6
j1202,6,7,0,0
j1203,12,14,11,8
