,M1,M2,M3,M4,M5,M6
j0101,0,6,12,9,14,13
j0102,23,19,17,18,21,0
j0103,11,20,0,23,12,11
j0104,6,0,10,18,13,7
j0105,17,15,6,0,9,18
j0201,14,10,15,19,0,16
j0202,6,0,9,14,5,0
j0203,14,11,15,13,18,23
j0204,18,16,20,15,17,0
j0205,17,20,16,17,0,16
j0301,9,7,5,0,6,13
j0302,10,9,12,6,5,11
j0303,20,18,13,19,18,11
j0304,14,12,15,0,15,12
j0305,11,8,10,19,8,0
j0401,11,0,13,14,16,10
j0402,9,0,12,11,0,8
j0403,9,12,14,16,0,9
j0404,21,0,15,11,9,7
j0405,5,6,13,0,11,5
j0501,14,13,0,20,14,11
j0502,0,6,7,9,8,7
j0503,11,14,16,9,0,16
j0504,16,21,17,20,23,17
j0505,0,18,19,21,18,19
j0601,7,12,9,5,11,9
j0602,9,13,18,12,6,18
j0603,8,0,9,8,7,9
j0604,12,5,9,15,6,9
j0605,19,0,19,16,16,21
j0701,5,6,12,20,8,12
j0702,7,14,11,0,9,11
j0703,5,4,5,6,7,5
j0704,6,7,0,0,9,0
j0705,11,7,7,9,13,10
j0801,20,0,25,19,14,25
j0802,26,13,0,24,14,25
j0803,16,18,23,0,23,25
j0804,0,13,23,24,18,18
j0805,11,14,10,13,9,0
j0901,0,14,23,18,25,15
j0902,20,8,9,0,12,19
j0903,16,17,23,18,22,0
j0904,10,8,9,10,8,13
j0905,15,18,25,0,20,22
j1001,6,10,19,20,0,12
j1002,0,8,6,5,5,13
j1003,20,17,0,22,21,17
j1004,13,13,13,0,11,10
j1005,14,15,21,23,14,18
j1101,16,0,18,19,17,25
j1102,14,15,0,26,0,20
j1103,5,11,12,10,5,9
j1104,20,13,24,0,24,23
j1105,19,25,0,13,25,19
j1201,21,0,18,20,18,15
j1202,0,21,25,0,25,20
j1203,14,18,17,16,19,22
j1204,12,0,14,11,10,10
j1205,0,21,0,19,17,13
j1301,13,11,11,0,10,0
j1302,7,19,13,12,0,20
j1303,20,22,16,0,19,19
j1304,12,12,13,13,7,10
j1305,26,20,0,17,0,18
j1401,19,16,19,20,0,21
j1402,9,10,0,9,0,10
j1403,9,8,0,7,5,5
j1404,25,24,22,18,0,20
j1405,25,16,0,25,22,17
j1501,11,5,0,8,9,10
j1502,21,17,20,0,24,18
j1503,10,8,14,0,8,13
j1504,0,10,0,9,18,14
j1505,7,12,10,0,11,7
